AMD Ryzen Threadripper 3970X;47956
AMD EPYC 7742;47365
AMD Ryzen Threadripper 3960X;47117
AMD EPYC 7702P;46067
AMD EPYC 7452;38257
AMD Ryzen 9 3950X;36094
Intel Xeon W-3175X @ 3.10GHz;33538
AMD Ryzen 9 PRO 3900;32899
AMD Ryzen 9 3900X;31911
Intel Xeon W-3265 @ 2.70GHz;31691
Intel Xeon Platinum 8268 @ 2.90GHz;31689
AMD Ryzen 9 3900;30679
AMD EPYC 7302P;30626
Intel Xeon Gold 6254 @ 3.10GHz;30018
Intel Core i9-9980XE @ 3.00GHz;29576
Intel Xeon Platinum 8168 @ 2.70GHz;29131
Intel Xeon Platinum 8173M @ 2.00GHz;28860
Intel Xeon Gold 6210U @ 2.50GHz;28560
Intel Core i9-9960X @ 3.10GHz;28470
AMD EPYC 7402P;28291
Intel Xeon Platinum 8175M @ 2.50GHz;28103
Intel Xeon Gold 6212U @ 2.40GHz;28060
Intel Xeon Gold 6154 @ 3.00GHz;27722
Intel Core i9-7980XE @ 2.60GHz;27671
AMD EPYC 7502P;27437
Intel Core i9-9940X @ 3.30GHz;26953
Intel Xeon Platinum 8124M @ 3.00GHz;26835
AMD Ryzen 7 PRO 3700;26231
Intel Core i9-7960X @ 2.80GHz;26030
Intel Xeon Gold 6148 @ 2.40GHz;25817
Intel Xeon Gold 6138 @ 2.00GHz;25774
Intel Xeon W-3235 @ 3.30GHz;25759
Intel Xeon Gold 6246 @ 3.30GHz;25734
Intel Core i9-7940X @ 3.10GHz;25412
Intel Xeon Gold 6242 @ 2.80GHz;25313
AMD Ryzen Threadripper 2950X;25284
Intel Xeon E5-2679 v4 @ 2.50GHz;25266
Intel Core i9-9920X @ 3.50GHz;25154
Intel Xeon Gold 6146 @ 3.20GHz;25142
Intel Xeon Gold 6230 @ 2.10GHz;24600
AMD Ryzen 7 3800X;24568
Intel Xeon W-2170B @ 2.50GHz;24561
Intel Xeon W-2195 @ 2.30GHz;24481
Intel Xeon W-2175 @ 2.50GHz;24454
Intel Xeon Platinum 8176 @ 2.10GHz;24434
Intel Xeon Gold 6140 @ 2.30GHz;23964
Intel Xeon Gold 6132 @ 2.60GHz;23907
AMD Ryzen 7 3700X;23858
Intel Xeon Gold 6152 @ 2.10GHz;23498
Intel Xeon E5-2699 v4 @ 2.20GHz;23435
Intel Core i9-7920X @ 2.90GHz;23288
AMD Ryzen Threadripper 2990WX;23227
Intel Core i9-9900X @ 3.50GHz;22984
Intel Xeon Gold 5218 @ 2.30GHz;22576
Intel Xeon E5-2697A v4 @ 2.60GHz;22462
Intel Xeon E5-2699 v3 @ 2.30GHz;22340
Intel Xeon E5-2696 v3 @ 2.30GHz;22172
AMD EPYC 7371;22071
AMD Ryzen Threadripper 2920X;22054
AMD Ryzen Threadripper 2970WX;22043
AMD Ryzen Threadripper 1950X;21967
Intel Xeon W-2155 @ 3.30GHz;21917
Intel Core i9-7900X @ 3.30GHz;21870
Intel Xeon E5-2698 v4 @ 2.20GHz;21836
AMD Ryzen 5 PRO 3600;21586
Intel Core i9-9900KS @ 4.00GHz;21549
Intel Xeon E5-2673 v4 @ 2.30GHz;21458
Intel Xeon W-2150B @ 3.00GHz;21451
Intel Xeon E5-2697 v4 @ 2.30GHz;21435
Intel Xeon E5-2697 v3 @ 2.60GHz;21425
Intel Xeon E5-2696 v4 @ 2.20GHz;21226
Intel Xeon E5-2690 v4 @ 2.60GHz;21167
Intel Xeon E5-2698 v3 @ 2.30GHz;21042
Intel Xeon Gold 6136 @ 3.00GHz;21034
Intel Core i9-9820X @ 3.30GHz;20965
AMD EPYC 7571;20858
Intel Core i7-7900X @ 3.30GHz;20474
AMD Ryzen 5 3600X;20465
Intel Xeon Gold 6137 @ 3.90GHz;20443
Intel Xeon E5-2682 v4 @ 2.50GHz;20420
Intel Core i9-9900KF @ 3.60GHz;20379
Intel Xeon E5-2695 v4 @ 2.10GHz;20258
AMD EPYC 7401P;20221
Intel Core i9-9900K @ 3.60GHz;20200
AMD Ryzen Threadripper 1920X;20063
Intel Core i7-6950X @ 3.00GHz;19923
AMD Ryzen 5 3600;19870
Intel Xeon E5-2680 v4 @ 2.40GHz;19864
Intel Xeon E5-2687W v4 @ 3.00GHz;19863
Intel Core i7-9800X @ 3.80GHz;19803
Intel Xeon E5-2686 v4 @ 2.30GHz;19801
Intel Xeon W-2145 @ 3.70GHz;19770
Intel Xeon E5-2689 v4 @ 3.10GHz;19744
Intel Xeon Gold 6126 @ 2.60GHz;19711
Intel Xeon E5-2695 v3 @ 2.30GHz;19710
Intel Xeon Gold 6144 @ 3.50GHz;19667
Intel Xeon E-2288G @ 3.70GHz;19658
Intel Xeon Gold 6130 @ 2.10GHz;19643
Intel Xeon E5-4669 v3 @ 2.10GHz;19615
Intel Xeon Silver 4216 @ 2.10GHz;19538
Intel Xeon D-2183IT @ 2.20GHz;19381
Intel Xeon E5-2686 v3 @ 2.00GHz;19255
AMD Ryzen Threadripper 2990X;19227
Intel Xeon E5-2683 v4 @ 2.10GHz;19047
Intel Xeon E5-2690 v3 @ 2.60GHz;19022
AMD EPYC 7501;18942
Intel Core i9-9900 @ 3.10GHz;18738
Intel Xeon W-2140B @ 3.20GHz;18620
Intel Core i7-7820X @ 3.60GHz;18517
AMD EPYC 7551;18483
AMD EPYC 7551P;18443
Intel Xeon E5-2680 v3 @ 2.50GHz;18426
Intel Xeon E-2286M @ 2.40GHz;18338
Intel Xeon Gold 5120 @ 2.20GHz;18253
Intel Xeon E5-1681 v3 @ 2.90GHz;18238
Intel Xeon Gold 6134 @ 3.20GHz;18206
Intel Xeon Gold 5120T @ 2.20GHz;18145
AMD EPYC 7351;18081
Intel Xeon E5-2687W v3 @ 3.10GHz;17795
Intel Xeon E-2278G @ 3.40GHz;17670
Intel Xeon Silver 4214 @ 2.20GHz;17630
Intel Core i9-9980HK @ 2.40GHz;17612
Intel Core i7-6900K @ 3.20GHz;17611
Intel Xeon E5-2676 v3 @ 2.40GHz;17608
Intel Xeon E5-2683 v3 @ 2.00GHz;17325
Intel Xeon E5-2658 v4 @ 2.30GHz;17275
Intel Core i7-9700K @ 3.60GHz;17220
Intel Xeon E5-2697 v2 @ 2.70GHz;17170
AMD Ryzen 7 PRO 2700X;17161
Intel Xeon E5-1680 v4 @ 3.40GHz;17063
Intel Core i7-9700KF @ 3.60GHz;17020
Intel Xeon E5-2678 v3 @ 2.50GHz;16993
AMD Ryzen 7 2700X;16949
Intel Xeon E5-2696 v2 @ 2.50GHz;16920
Intel Xeon E5-2660 v4 @ 2.00GHz;16880
Intel Xeon E5-2670 v3 @ 2.30GHz;16765
Intel Core i7-8086K @ 4.00GHz;16681
Intel Core i9-9880H @ 2.30GHz;16680
Intel Xeon Gold 5117 @ 2.00GHz;16672
Intel Xeon E-2286G @ 4.00GHz;16671
Intel Xeon E5-2667 v4 @ 3.20GHz;16631
Intel Xeon Gold 5118 @ 2.30GHz;16435
Intel Xeon E5-2660 v3 @ 2.60GHz;16429
Intel Xeon E5-2673 v3 @ 2.40GHz;16416
Intel Core i7-9700F @ 3.00GHz;16394
Intel Xeon E5-2690 v2 @ 3.00GHz;16391
Intel Xeon E5-2687W v2 @ 3.40GHz;16343
Intel Xeon E5-2673 v2 @ 3.30GHz;16320
Intel Xeon E5-1680 v3 @ 3.20GHz;16317
Intel Xeon W-2135 @ 3.70GHz;16299
Intel Xeon E5-2658 v3 @ 2.20GHz;16298
Intel Xeon E5-1680 v2 @ 3.00GHz;16250
Intel Xeon E5-1660 v4 @ 3.20GHz;16203
Intel Xeon E5-2667 v2 @ 3.30GHz;16165
AMD Ryzen Threadripper 1900X;16108
AMD Ryzen 5 3500X;16070
Intel Xeon E5-2695 v2 @ 2.40GHz;16041
Intel Xeon E-2246G @ 3.60GHz;16023
Intel Xeon E5-2692 v2 @ 2.20GHz;16018
Intel Xeon E5-2667 v3 @ 3.20GHz;16011
Intel Core i7-5960X @ 3.00GHz;15986
Intel Core i7-8700K @ 3.70GHz;15935
Intel Xeon Silver 4210 @ 2.20GHz;15898
Intel Xeon E5-4657L v2 @ 2.40GHz;15896
Intel Xeon E5-2680 v2 @ 2.80GHz;15888
Intel Core i7-9700 @ 3.00GHz;15855
Intel Xeon E5-4660 v3 @ 2.10GHz;15849
Intel Xeon E-2186G @ 3.80GHz;15838
Intel Xeon E-2136 @ 3.30GHz;15793
Intel Xeon E-2236 @ 3.40GHz;15781
AMD EPYC 7451;15767
Intel Xeon E-2146G @ 3.50GHz;15620
Intel Xeon E-2176G @ 3.70GHz;15592
AMD Ryzen 7 1800X;15541
Intel Xeon E5-4627 v4 @ 2.60GHz;15516
Intel Xeon Silver 4116 @ 2.10GHz;15509
Intel Xeon E5-2650 v4 @ 2.20GHz;15483
Intel Xeon E5-2640 v4 @ 2.40GHz;15420
AMD Ryzen 7 PRO 2700;15399
AMD Ryzen 7 PRO 1700X;15324
Intel Xeon Silver 4215 @ 2.50GHz;15200
Intel Xeon Silver 4123 @ 3.00GHz;15185
Intel Xeon E5-2675 v3 @ 1.80GHz;15137
Intel Core i7-8700 @ 3.20GHz;15134
Intel Core i9-9900T @ 2.10GHz;15090
AMD Ryzen 7 2700;15070
Intel Xeon E5-2670 v2 @ 2.50GHz;15021
Intel Xeon E5-2685 v3 @ 2.60GHz;15004
AMD EPYC 7301;14978
Intel Xeon Gold 6128 @ 3.40GHz;14941
AMD EPYC 7351P;14887
Intel Xeon E5-2650 v3 @ 2.30GHz;14883
Intel Core i7-8700B @ 3.20GHz;14862
AMD Ryzen 7 1700X;14814
Intel Xeon E5-2649 v3 @ 2.30GHz;14677
Intel Xeon E5-1660 v3 @ 3.00GHz;14656
Intel Core i7-7800X @ 3.50GHz;14643
Intel Xeon E5-2618L v4 @ 2.20GHz;14572
Intel Xeon E-2186M @ 2.90GHz;14526
Intel Xeon E5-4627 v3 @ 2.60GHz;14489
Intel Xeon D-1567 @ 2.10GHz;14482
Intel Xeon E-2276M @ 2.80GHz;14449
Intel Xeon W-2133 @ 3.60GHz;14374
Intel Core i7-6850K @ 3.60GHz;14371
AMD Ryzen 5 2600X;14362
Intel Xeon E5-2687W @ 3.10GHz;14340
Intel Xeon Silver 4114 @ 2.20GHz;14317
AMD Ryzen 5 PRO 2600;14221
Intel Core i9-8950HK @ 2.90GHz;14212
AMD Ryzen 5 3500;14210
Intel Xeon E5-1650 v4 @ 3.60GHz;14210
Intel Xeon E-2276G @ 3.80GHz;14143
AMD Ryzen 7 PRO 1700;14112
Intel Xeon E5-2650L v4 @ 1.70GHz;14093
Intel Xeon D-1587 @ 1.70GHz;14049
Intel Xeon E5-2663 v3 @ 2.80GHz;13994
Intel Core i7-9850H @ 2.60GHz;13950
AMD Ryzen 7 1700;13932
Intel Core i5-9600 @ 3.10GHz;13931
Intel Xeon E5-1660 v2 @ 3.70GHz;13919
Intel Xeon E-2278GEL @ 2.00GHz;13914
Intel Xeon E5-2630 v4 @ 2.20GHz;13897
Intel Xeon E5-2643 v3 @ 3.40GHz;13887
Intel Xeon E5-2658 v2 @ 2.40GHz;13874
Intel Xeon E5-2640 v3 @ 2.60GHz;13864
Intel Xeon D-2143IT @ 2.20GHz;13816
Intel Core i7-4960X @ 3.60GHz;13803
Intel Xeon E5-2690 @ 2.90GHz;13738
Intel Core i7-5930K @ 3.50GHz;13664
Intel Xeon E5-2648L v4 @ 1.80GHz;13654
Intel Xeon E5-1650 v3 @ 3.50GHz;13627
Intel Xeon E5-4669 v4 @ 2.20GHz;13626
Intel Core i5-9600KF @ 3.70GHz;13607
Intel Xeon E-2126G @ 3.30GHz;13583
Intel Core i7-9750H @ 2.60GHz;13574
Intel Core i7-6800K @ 3.40GHz;13564
Intel Xeon E-2176M @ 2.70GHz;13557
AMD Ryzen 5 2600;13514
Intel Xeon E5-2650L v3 @ 1.80GHz;13513
Intel Core i5-9600K @ 3.70GHz;13487
Intel Xeon E5-2643 v4 @ 3.40GHz;13475
Intel Core i7-9700T @ 2.00GHz;13426
AMD Ryzen 7 2700E;13410
Intel Xeon E5-2689 @ 2.60GHz;13274
Intel Xeon E5-2650 v2 @ 2.60GHz;13204
AMD Ryzen 5 1600X;13202
Intel Xeon E5-2660 v2 @ 2.20GHz;13161
Intel Xeon E5-2643 v2 @ 3.50GHz;13121
Intel Xeon Silver 4208 @ 2.10GHz;13116
Intel Core i7-10710U @ 1.10GHz;13115
Intel Xeon E5-2628L v4 @ 1.90GHz;13101
Intel Core i5-9500F @ 3.00GHz;13055
Intel Core i7-4930K @ 3.40GHz;13023
Intel Core i7-5820K @ 3.30GHz;13011
Intel Core i7-8850H @ 2.60GHz;12944
Intel Xeon E5-2680 @ 2.70GHz;12888
Intel Xeon E-2226G @ 3.40GHz;12887
Intel Xeon E5-2630L v4 @ 1.80GHz;12847
Intel Xeon D-2141I @ 2.20GHz;12836
Intel Xeon E5-2630 v3 @ 2.40GHz;12797
Intel Xeon E-2244G @ 3.80GHz;12782
Intel Core i5-8500B @ 3.00GHz;12756
Intel Xeon E5-1650 v2 @ 3.50GHz;12752
Intel Xeon E5-4640 v3 @ 1.90GHz;12703
Intel Core i7-3970X @ 3.50GHz;12695
Intel Core i7-9700TE @ 1.80GHz;12688
Intel Core i5-8600K @ 3.60GHz;12679
Intel Core i7-8700T @ 2.40GHz;12621
Intel Xeon E-2274G @ 4.00GHz;12595
Intel Core i7-3960X @ 3.30GHz;12571
Intel Xeon E5-4627 v2 @ 3.30GHz;12511
Intel Core i5-8600 @ 3.10GHz;12481
Intel Core i7-8750H @ 2.20GHz;12399
Intel Core i5-9500 @ 3.00GHz;12382
Intel Xeon E5-2670 @ 2.60GHz;12374
Intel Xeon W-2125 @ 4.00GHz;12321
Intel Xeon E5-2628L v3 @ 2.00GHz;12295
Intel Xeon E5-4655 v3 @ 2.90GHz;12292
AMD Ryzen 5 1600;12288
Intel Xeon E-2174G @ 3.80GHz;12278
Intel Xeon E5-1660 @ 3.30GHz;12242
Intel Core i7-8559U @ 2.70GHz;12228
AMD Ryzen 5 PRO 1600;12213
Intel Core i7-7740X @ 4.30GHz;12203
Intel Xeon E5-2618L v3 @ 2.30GHz;12186
Intel Xeon E5-4650L @ 2.60GHz;12145
Intel Core i5-9400F @ 2.90GHz;12105
Intel Core i7-7700K @ 4.20GHz;11992
Intel Xeon E3-1285 v6 @ 4.10GHz;11992
Intel Core i7-3930K @ 3.20GHz;11973
Intel Core i5-9400 @ 2.90GHz;11949
Intel Core i5-8500 @ 3.00GHz;11814
AMD EPYC 7251;11811
Intel Xeon E5-2665 @ 2.40GHz;11744
Intel Xeon E5-1650 @ 3.20GHz;11736
Intel Core i5-9600T @ 2.30GHz;11706
AMD EPYC 3251;11690
Intel Xeon E5-4650 @ 2.70GHz;11685
Intel Xeon Silver 4110 @ 2.10GHz;11657
Intel Core i5-8400 @ 2.80GHz;11569
Intel Xeon E-2144G @ 3.60GHz;11532
Intel Xeon E5-2648L v3 @ 1.80GHz;11392
Intel Xeon E5-2648L v2 @ 1.90GHz;11381
Intel Core i5-9400H @ 2.50GHz;11379
Intel Core i7-9850HL @ 1.90GHz;11340
Intel Xeon @ 2.00GHz;11327
Intel Xeon E5-2620 v4 @ 2.10GHz;11324
Intel Xeon E5-2651 v2 @ 1.80GHz;11302
Intel Xeon E5-2470 v2 @ 2.40GHz;11268
Intel Xeon E5-2660 @ 2.20GHz;11259
Intel Xeon E3-1270 v6 @ 3.80GHz;11171
Intel Core i7-4790K @ 4.00GHz;11165
Intel Core i7-6700K @ 4.00GHz;11109
Intel Xeon E5-4648 v3 @ 1.70GHz;11097
Intel Xeon D-1541 @ 2.10GHz;11083
Intel Xeon E3-1280 v6 @ 3.90GHz;11041
Intel Xeon E3-1275 v6 @ 3.80GHz;11028
Intel Xeon E5-2629 v3 @ 2.40GHz;11022
Intel Core i5-8259U @ 2.30GHz;10999
Intel Core i7-8809G @ 3.10GHz;10991
Intel Xeon E5-2470 @ 2.30GHz;10986
Intel Core i5-8600T @ 2.30GHz;10981
Intel Xeon D-2146NT @ 2.30GHz;10968
Intel Xeon E3-1285L v4 @ 3.40GHz;10961
Intel Xeon D-1557 @ 1.50GHz;10950
Intel Xeon Silver 4109T @ 2.00GHz;10946
AMD Opteron 6386 SE;10912
Intel Xeon Gold 5122 @ 3.60GHz;10896
Intel Xeon E-2134 @ 3.50GHz;10882
Intel Core i7-5775R @ 3.30GHz;10879
Intel Core i7-5775C @ 3.30GHz;10851
Intel Core i7-5950HQ @ 2.90GHz;10850
AMD Ryzen 5 PRO 3400G;10833
Intel Xeon E5-4640 @ 2.40GHz;10807
Intel Xeon E3-1585 v5 @ 3.50GHz;10797
Intel Core i5-8257U @ 1.40GHz;10742
Intel Xeon D-1540 @ 2.00GHz;10740
Intel Xeon Silver 4108 @ 1.80GHz;10704
Intel Xeon E3-1270L v4 @ 3.00GHz;10691
Intel Core i7-7700 @ 3.60GHz;10685
Intel Xeon D-1548 @ 2.00GHz;10679
Intel Xeon E5-2667 @ 2.90GHz;10670
Intel Xeon W-2123 @ 3.60GHz;10663
Intel Core i7-1065G7 @ 1.30GHz;10634
Intel Core i5-9500T @ 2.20GHz;10630
Intel Core i5-8279U @ 2.40GHz;10623
Intel Xeon E3-1280 v5 @ 3.70GHz;10620
Intel Xeon E3-1575M v5 @ 3.00GHz;10616
AMD Ryzen 5 PRO 3400GE;10566
Intel Core i7-8706G @ 3.10GHz;10539
Intel Xeon E3-1535M v6 @ 3.10GHz;10538
Intel Xeon E3-1245 v6 @ 3.70GHz;10533
Intel Core i3-9350KF @ 4.00GHz;10526
Intel Xeon E5-2637 v4 @ 3.50GHz;10512
Intel Xeon E3-1285 v4 @ 3.50GHz;10510
Intel Xeon E3-1285 v3 @ 3.60GHz;10509
Intel Xeon E3-1240 v6 @ 3.70GHz;10487
Intel Xeon E5-2450 @ 2.10GHz;10387
Intel Xeon E5-2630 v2 @ 2.60GHz;10378
Intel Core i5-8400H @ 2.50GHz;10377
Intel Xeon E3-1275 v5 @ 3.60GHz;10353
Intel Xeon E3-1240 v5 @ 3.50GHz;10317
Intel Xeon E5-1630 v4 @ 3.70GHz;10310
Intel Core i7-4980HQ @ 2.80GHz;10301
Intel Xeon E3-1545M v5 @ 2.90GHz;10283
Intel Xeon E3-1270 v5 @ 3.60GHz;10279
Intel Xeon E5-2650 @ 2.00GHz;10265
Intel Xeon E5-1630 v3 @ 3.70GHz;10228
Intel Xeon E3-1260L v5 @ 2.90GHz;10218
Intel Xeon E5-2640 v2 @ 2.00GHz;10213
Intel Xeon E3-1276 v3 @ 3.60GHz;10209
AMD FX-9590 Eight-Core;10193
Intel Xeon E3-1245 v5 @ 3.50GHz;10169
Intel Core i3-9320 @ 3.70GHz;10144
Intel Xeon E3-1585L v5 @ 3.00GHz;10135
AMD Ryzen 5 PRO 1500;10133
Intel Xeon E3-1271 v3 @ 3.60GHz;10117
Intel Xeon E5-2637 v3 @ 3.50GHz;10117
AMD Ryzen 5 1500X;10112
Intel Xeon E-2224 @ 3.40GHz;10096
AMD Opteron 6380;10081
Intel Core i7-4770K @ 3.50GHz;10075
Intel Xeon E3-1275 v3 @ 3.50GHz;10048
Intel Xeon E3-1281 v3 @ 3.70GHz;10031
Intel Xeon E3-1241 v3 @ 3.50GHz;10022
Intel Core i3-9300 @ 3.70GHz;10018
Intel Xeon E3-1515M v5 @ 2.80GHz;10016
Intel Core i7-6700 @ 3.40GHz;10003
Intel Core i5-1035G7 @ 1.20GHz;9998
Intel Core i7-7920HQ @ 3.10GHz;9991
Intel Core i7-4790 @ 3.60GHz;9989
AMD Ryzen 5 3400G;9984
AMD Ryzen 5 PRO 2400G;9984
Intel Xeon E3-1285L v3 @ 3.10GHz;9981
Intel Xeon E5-2620 v3 @ 2.40GHz;9980
Intel Core i5-8500T @ 2.10GHz;9971
Intel Core i5-9400T @ 1.80GHz;9968
Intel Core i7-7820HK @ 2.90GHz;9958
Intel Xeon E3-1270 v3 @ 3.50GHz;9922
Intel Xeon E5-1620 v4 @ 3.50GHz;9903
Intel Xeon E3-1286 v3 @ 3.70GHz;9899
Intel Xeon E-2124G @ 3.40GHz;9891
Intel Xeon E5-2650L v2 @ 1.70GHz;9880
Intel Core i7-8705G @ 3.10GHz;9878
Intel Xeon E-2224G @ 3.50GHz;9868
Intel Xeon E3-1246 v3 @ 3.50GHz;9864
Intel Core i5-9300H @ 2.40GHz;9861
Intel Core i7-4771 @ 3.50GHz;9860
Intel Core i7-4960HQ @ 2.60GHz;9856
Intel Core i7-4770R @ 3.20GHz;9830
Intel Core i7-5850EQ @ 2.70GHz;9817
Intel Core i7-995X @ 3.60GHz;9791
AMD Opteron 6287 SE;9789
Intel Xeon E3-1230 v6 @ 3.50GHz;9784
Intel Core i7-4770 @ 3.40GHz;9781
Intel Core i7-8709G @ 3.10GHz;9780
Intel Core i7-4940MX @ 3.10GHz;9776
Intel Xeon E3-1280 v3 @ 3.60GHz;9769
Intel Xeon E3-1230 v5 @ 3.40GHz;9754
Intel Xeon E5-1620 v3 @ 3.50GHz;9745
Intel Xeon E5-2630L v3 @ 1.80GHz;9727
Intel Core i7-4820K @ 3.70GHz;9720
Intel Core i7-6770HQ @ 2.60GHz;9717
AMD Ryzen 5 2500X;9704
Intel Xeon E3-1240 v3 @ 3.40GHz;9677
Intel Xeon E3-1505M v6 @ 3.00GHz;9674
Intel Xeon E3-1290 V2 @ 3.70GHz;9654
Intel Xeon D-1531 @ 2.20GHz;9643
Intel Core i7-10510U @ 1.80GHz;9639
AMD EPYC 3201;9634
Intel Xeon E5-2658 @ 2.10GHz;9632
Intel Xeon E3-1231 v3 @ 3.40GHz;9631
Intel Xeon E3-1245 v3 @ 3.40GHz;9591
Intel Core i7-4790S @ 3.20GHz;9559
Intel Xeon E5-4610 @ 2.40GHz;9552
Intel Core i7-6920HQ @ 2.90GHz;9549
Intel Core i5-8400T @ 1.70GHz;9518
Intel Core i7-3770K @ 3.50GHz;9515
Intel Xeon E5-1620 v2 @ 3.70GHz;9498
Intel Xeon E3-1286L v3 @ 3.20GHz;9495
Intel Xeon E3-1270 V2 @ 3.50GHz;9473
Intel Core i5-8300H @ 2.30GHz;9470
AMD FX-9370 Eight-Core;9462
Intel Core i7-5850HQ @ 2.70GHz;9459
Intel Xeon E-2254ML @ 1.70GHz;9458
Intel Xeon E3-1280 V2 @ 3.60GHz;9445
Intel Core i7-4930MX @ 3.00GHz;9444
Intel Xeon E-2124 @ 3.30GHz;9444
Intel Core i5-7640X @ 4.00GHz;9440
Intel Xeon E3-1275 V2 @ 3.50GHz;9424
Intel Xeon E5-2640 @ 2.50GHz;9413
Intel Xeon E5-2628L v2 @ 1.90GHz;9405
AMD Opteron 6344;9372
Intel Core i7-4870HQ @ 2.50GHz;9353
Intel Core i7-4770S @ 3.10GHz;9350
Intel Core i7-4910MQ @ 2.90GHz;9336
AMD Ryzen 5 2400G;9327
Intel Xeon E3-1230 v3 @ 3.30GHz;9327
Intel Xeon E3-1535M v5 @ 2.90GHz;9316
Intel Core i7-7700T @ 2.90GHz;9314
Intel Xeon E5-4617 @ 2.90GHz;9313
Intel Xeon E5-2440 v2 @ 1.90GHz;9290
Intel Core i7-3770 @ 3.40GHz;9277
Intel Core i7-4860HQ @ 2.40GHz;9276
Intel Xeon E5-4620 @ 2.20GHz;9248
Intel Core i7-7820HQ @ 2.90GHz;9246
Intel Core i3-8350K @ 4.00GHz;9240
Intel Xeon E5-4607 v2 @ 2.60GHz;9234
Intel Xeon E5-2637 v2 @ 3.50GHz;9224
Intel Xeon E5-2440 @ 2.40GHz;9221
AMD Opteron 6376;9212
Intel Xeon E3-1265L v3 @ 2.50GHz;9204
Intel Core i7-3940XM @ 3.00GHz;9160
Intel Xeon E3-1240 V2 @ 3.40GHz;9152
Intel Core i7-7820EQ @ 3.00GHz;9144
Intel Xeon E3-1245 V2 @ 3.40GHz;9133
Intel Core i7-6820HK @ 2.70GHz;9124
AMD Opteron 6282 SE;9116
AMD Opteron 6378;9094
Intel Xeon E5-2630L v2 @ 2.40GHz;9088
Intel Core i7-4790T @ 2.70GHz;9074
Intel Xeon E5-1620 @ 3.60GHz;9067
Intel Xeon E5-2430 v2 @ 2.50GHz;9061
Intel Xeon E3-1265L v4 @ 2.30GHz;9060
Intel Core i7-4850HQ @ 2.30GHz;9056
Intel Core i7-990X @ 3.47GHz;9050
Intel Core i5-7600K @ 3.80GHz;9049
AMD FX-8370 Eight-Core;9048
AMD Ryzen 5 2400GE;9044
Intel Core i7-6700T @ 2.80GHz;9001
Intel Core i7-3820 @ 3.60GHz;8987
Intel Xeon E5-2623 v3 @ 3.00GHz;8987
Intel Core i7-3920XM @ 2.90GHz;8984
Intel Core i7-4900MQ @ 2.80GHz;8973
Intel Xeon W3690 @ 3.47GHz;8965
Intel Core i7-4770HQ @ 2.20GHz;8961
Intel Xeon X5679 @ 3.20GHz;8958
AMD FX-8350 Eight-Core;8957
Intel Xeon E3-1505M v5 @ 2.80GHz;8956
Intel Xeon E5-2448L v2 @ 1.80GHz;8954
Intel Core i5-8305G @ 2.80GHz;8947
Intel Core i3-9100 @ 3.60GHz;8935
Intel Xeon E5-2630 @ 2.30GHz;8928
Intel Xeon W3680 @ 3.33GHz;8904
Intel Core i7-3770S @ 3.10GHz;8901
Intel Xeon E3-1275L v3 @ 2.70GHz;8901
AMD Opteron 6276;8889
AMD Ryzen 7 PRO 2700U;8877
Intel Core i3-9100F @ 3.60GHz;8877
AMD Ryzen 7 3750H;8874
Intel Core i5-1035G4 @ 1.10GHz;8874
Intel Xeon E3-1230 V2 @ 3.30GHz;8869
Intel Xeon E5-4610 v3 @ 1.70GHz;8853
Intel Core i7-8565U @ 1.80GHz;8836
Intel Core i7-4760HQ @ 2.10GHz;8793
Intel Xeon X5690 @ 3.47GHz;8787
Intel Core i3-9300T @ 3.20GHz;8777
Intel Xeon E3-1290 @ 3.60GHz;8768
Intel Core i7-7700HQ @ 2.80GHz;8766
Intel Core i7-6820HQ @ 2.70GHz;8764
Intel Core i7-3840QM @ 2.80GHz;8763
Intel Core i5-1035G1 @ 1.00GHz;8761
Intel Xeon E5-2420 v2 @ 2.20GHz;8750
Intel Core i7-980X @ 3.33GHz;8746
Intel Core i7-8665UE @ 1.70GHz;8731
Intel Core i7-8665U @ 1.90GHz;8701
Intel Core i3-8300 @ 3.70GHz;8700
Intel Core i7-8650U @ 1.90GHz;8696
Intel Xeon E3-1268L v5 @ 2.40GHz;8695
Intel Core i7-2700K @ 3.50GHz;8690
Intel Xeon E5-1428L v2 @ 2.20GHz;8679
Intel Core i7-6700TE @ 2.40GHz;8674
Intel Core i7-4810MQ @ 2.80GHz;8655
Intel Core i7-6820EQ @ 2.80GHz;8630
Intel Core i5-7600 @ 3.50GHz;8614
Intel Xeon E5-2620 v2 @ 2.10GHz;8611
Intel Xeon Silver 4112 @ 2.60GHz;8611
Intel Core i7-4770T @ 2.50GHz;8601
AMD Ryzen 7 PRO 3700U;8576
AMD Ryzen Embedded V1756B;8559
Intel Core i3-8100B @ 3.60GHz;8544
